time_window_start,total_tokens_sum,gpu_required,total_gpu,free_gpu
2024-05-13 11:30:00+00:00,29075728,30.0,216,186.0
2024-05-13 11:45:00+00:00,36145563,37.0,216,179.0
2024-05-13 12:00:00+00:00,36240276,37.0,216,179.0
2024-05-13 12:15:00+00:00,43323675,44.0,216,172.0
2024-05-13 12:30:00+00:00,50957055,51.0,216,165.0
2024-05-13 12:45:00+00:00,56323847,57.0,216,159.0
2024-05-13 13:00:00+00:00,64774349,65.0,216,151.0
2024-05-13 13:15:00+00:00,83501640,84.0,216,132.0
2024-05-13 13:30:00+00:00,102807932,103.0,216,113.0
2024-05-13 13:45:00+00:00,106023998,107.0,216,109.0
2024-05-13 14:00:00+00:00,102215921,103.0,216,113.0
2024-05-13 14:15:00+00:00,116175348,117.0,216,99.0
2024-05-13 14:30:00+00:00,145631807,146.0,216,70.0
2024-05-13 14:45:00+00:00,148953732,149.0,216,67.0
2024-05-13 15:00:00+00:00,139588904,140.0,216,76.0
2024-05-13 15:15:00+00:00,146632064,147.0,216,69.0
2024-05-13 15:30:00+00:00,148289331,149.0,216,67.0
2024-05-13 15:45:00+00:00,146733161,147.0,216,69.0
2024-05-13 16:00:00+00:00,138221884,139.0,216,77.0
2024-05-13 16:15:00+00:00,125582059,126.0,216,90.0
2024-05-13 16:30:00+00:00,132872730,133.0,216,83.0
2024-05-13 16:45:00+00:00,151754875,152.0,216,64.0
2024-05-13 17:00:00+00:00,139005986,140.0,216,76.0
2024-05-13 17:15:00+00:00,149557199,150.0,216,66.0
2024-05-13 17:30:00+00:00,150850473,151.0,216,65.0
2024-05-13 17:45:00+00:00,169164597,170.0,216,46.0
2024-05-13 18:00:00+00:00,171767686,172.0,216,44.0
2024-05-13 18:15:00+00:00,170523664,171.0,216,45.0
2024-05-13 18:30:00+00:00,182858265,183.0,216,33.0
2024-05-13 18:45:00+00:00,175183254,176.0,216,40.0
2024-05-13 19:00:00+00:00,179568489,180.0,216,36.0
2024-05-13 19:15:00+00:00,187395085,188.0,216,28.0
2024-05-13 19:30:00+00:00,184780394,185.0,216,31.0
2024-05-13 19:45:00+00:00,186588534,187.0,216,29.0
2024-05-13 20:00:00+00:00,181169526,182.0,216,34.0
2024-05-13 20:15:00+00:00,182645066,183.0,216,33.0
2024-05-13 20:30:00+00:00,173434101,174.0,216,42.0
2024-05-13 20:45:00+00:00,166798677,167.0,216,49.0
2024-05-13 21:00:00+00:00,144365938,145.0,216,71.0
2024-05-13 21:15:00+00:00,138668344,139.0,216,77.0
2024-05-13 21:30:00+00:00,127450258,128.0,216,88.0
2024-05-13 21:45:00+00:00,116137463,117.0,216,99.0
2024-05-13 22:00:00+00:00,109109332,110.0,216,106.0
2024-05-13 22:15:00+00:00,98744431,99.0,216,117.0
2024-05-13 22:30:00+00:00,100384727,101.0,216,115.0
2024-05-13 22:45:00+00:00,96321987,97.0,216,119.0
2024-05-13 23:00:00+00:00,80320016,81.0,216,135.0
2024-05-13 23:15:00+00:00,71545658,72.0,216,144.0
2024-05-13 23:30:00+00:00,63031562,64.0,216,152.0
2024-05-13 23:45:00+00:00,58363524,59.0,216,157.0
2024-05-14 00:00:00+00:00,59143676,60.0,216,156.0
2024-05-14 00:15:00+00:00,61101029,62.0,216,154.0
2024-05-14 00:30:00+00:00,63227557,64.0,216,152.0
2024-05-14 00:45:00+00:00,67219415,68.0,216,148.0
2024-05-14 01:00:00+00:00,57650911,58.0,216,158.0
2024-05-14 01:15:00+00:00,59288536,60.0,216,156.0
2024-05-14 01:30:00+00:00,57107364,58.0,216,158.0
2024-05-14 01:45:00+00:00,65166456,66.0,216,150.0
2024-05-14 02:00:00+00:00,54919209,55.0,216,161.0
2024-05-14 02:15:00+00:00,55217334,56.0,216,160.0
2024-05-14 02:30:00+00:00,55267403,56.0,216,160.0
2024-05-14 02:45:00+00:00,51953530,52.0,216,164.0
2024-05-14 03:00:00+00:00,44175691,45.0,216,171.0
2024-05-14 03:15:00+00:00,38155866,39.0,216,177.0
2024-05-14 03:30:00+00:00,34348593,35.0,216,181.0
2024-05-14 03:45:00+00:00,34397118,35.0,216,181.0
2024-05-14 04:00:00+00:00,35698987,36.0,216,180.0
2024-05-14 04:15:00+00:00,30173664,31.0,216,185.0
2024-05-14 04:30:00+00:00,31259851,32.0,216,184.0
2024-05-14 04:45:00+00:00,29433670,30.0,216,186.0
2024-05-14 05:00:00+00:00,26198238,27.0,216,189.0
2024-05-14 05:15:00+00:00,24413203,25.0,216,191.0
2024-05-14 05:30:00+00:00,24995134,25.0,216,191.0
2024-05-14 05:45:00+00:00,25692678,26.0,216,190.0
2024-05-14 06:00:00+00:00,22745700,23.0,216,193.0
2024-05-14 06:15:00+00:00,20316012,21.0,216,195.0
2024-05-14 06:30:00+00:00,24910403,25.0,216,191.0
2024-05-14 06:45:00+00:00,23579914,24.0,216,192.0
2024-05-14 07:00:00+00:00,20795436,21.0,216,195.0
2024-05-14 07:15:00+00:00,21370503,22.0,216,194.0
2024-05-14 07:30:00+00:00,18798326,19.0,216,197.0
2024-05-14 07:45:00+00:00,21629028,22.0,216,194.0
2024-05-14 08:00:00+00:00,19713223,20.0,216,196.0
2024-05-14 08:15:00+00:00,20159512,21.0,216,195.0
2024-05-14 08:30:00+00:00,21206816,22.0,216,194.0
2024-05-14 08:45:00+00:00,19683238,20.0,216,196.0
2024-05-14 09:00:00+00:00,22015459,23.0,216,193.0
2024-05-14 09:15:00+00:00,26402640,27.0,216,189.0
2024-05-14 09:30:00+00:00,20692593,21.0,216,195.0
2024-05-14 09:45:00+00:00,22821052,23.0,216,193.0
2024-05-14 10:00:00+00:00,24072507,25.0,216,191.0
2024-05-14 10:15:00+00:00,23256887,24.0,216,192.0
2024-05-14 10:30:00+00:00,23139878,24.0,216,192.0
2024-05-14 10:45:00+00:00,24336833,25.0,216,191.0
2024-05-14 11:00:00+00:00,24436470,25.0,216,191.0
2024-05-14 11:15:00+00:00,30176981,31.0,216,185.0
2024-05-14 11:30:00+00:00,31550359,32.0,216,184.0
2024-05-14 11:45:00+00:00,38231792,39.0,216,177.0
2024-05-14 12:00:00+00:00,46449693,47.0,216,169.0
2024-05-14 12:15:00+00:00,54780047,55.0,216,161.0
2024-05-14 12:30:00+00:00,59805268,60.0,216,156.0
2024-05-14 12:45:00+00:00,72021389,73.0,216,143.0
2024-05-14 13:00:00+00:00,82613617,83.0,216,133.0
2024-05-14 13:15:00+00:00,104390570,105.0,216,111.0
2024-05-14 13:30:00+00:00,109153835,110.0,216,106.0
2024-05-14 13:45:00+00:00,129577500,130.0,216,86.0
2024-05-14 14:00:00+00:00,127934133,128.0,216,88.0
2024-05-14 14:15:00+00:00,151961622,152.0,216,64.0
2024-05-14 14:30:00+00:00,152634638,153.0,216,63.0
2024-05-14 14:45:00+00:00,159873283,160.0,216,56.0
2024-05-14 15:00:00+00:00,163208734,164.0,216,52.0
2024-05-14 15:15:00+00:00,167284981,168.0,216,48.0
2024-05-14 15:30:00+00:00,162557419,163.0,216,53.0
2024-05-14 15:45:00+00:00,153004460,154.0,216,62.0
2024-05-14 16:00:00+00:00,136682019,137.0,216,79.0
2024-05-14 16:15:00+00:00,124914854,125.0,216,91.0
2024-05-14 16:30:00+00:00,144958930,145.0,216,71.0
2024-05-14 16:45:00+00:00,150323529,151.0,216,65.0
2024-05-14 17:00:00+00:00,145701300,146.0,216,70.0
2024-05-14 17:15:00+00:00,157194190,158.0,216,58.0
2024-05-14 17:30:00+00:00,173664329,174.0,216,42.0
2024-05-14 17:45:00+00:00,186516386,187.0,216,29.0
2024-05-14 18:00:00+00:00,179793665,180.0,216,36.0
2024-05-14 18:15:00+00:00,195105738,196.0,216,20.0
2024-05-14 18:30:00+00:00,202874192,203.0,216,13.0
2024-05-14 18:45:00+00:00,201284207,202.0,216,14.0
2024-05-14 19:00:00+00:00,202320099,203.0,216,13.0
2024-05-14 19:15:00+00:00,197578342,198.0,216,18.0
2024-05-14 19:30:00+00:00,190361528,191.0,216,25.0
2024-05-14 19:45:00+00:00,192333049,193.0,216,23.0
2024-05-14 20:00:00+00:00,196181217,197.0,216,19.0
2024-05-14 20:15:00+00:00,188196589,189.0,216,27.0
2024-05-14 20:30:00+00:00,180548490,181.0,216,35.0
2024-05-14 20:45:00+00:00,170360875,171.0,216,45.0
2024-05-14 21:00:00+00:00,144093107,145.0,216,71.0
2024-05-14 21:15:00+00:00,115348006,116.0,216,100.0
2024-05-14 21:30:00+00:00,126004627,127.0,216,89.0
2024-05-14 21:45:00+00:00,116087254,117.0,216,99.0
2024-05-14 22:00:00+00:00,96648187,97.0,216,119.0
2024-05-14 22:15:00+00:00,91572222,92.0,216,124.0
2024-05-14 22:30:00+00:00,92488718,93.0,216,123.0
2024-05-14 22:45:00+00:00,82813000,83.0,216,133.0
2024-05-14 23:00:00+00:00,76107818,77.0,216,139.0
2024-05-14 23:15:00+00:00,70015880,71.0,216,145.0
2024-05-14 23:30:00+00:00,61221012,62.0,216,154.0
